interval,window,z_entry,z_exit,sharpe_mean,sharpe_std,sharpe_count,sharpe_min,sharpe_max,return_mean,drawdown_mean,winrate_mean,trades_mean,robustness_score
1h,60,2.5,0.5,-0.7551866702599112,40.06208547322893,3,-29.251983515585064,45.05141384997946,-5.565008383616662,-17.028555765877105,0.3611111111111111,8.0,-20.786229406874376
1h,60,2.5,0.3,-1.5061239023350044,38.77458919482625,3,-29.251983515585064,42.79860215375418,-5.989763818142087,-17.359330374853275,0.3611111111111111,8.0,-20.89341849974813
1h,120,2.0,0.3,-12.619154869810666,19.75046016247891,3,-29.436684266838338,9.129726221177002,-18.489335583610288,-28.97328885065741,0.2222222222222222,10.0,-22.494384951050122
1h,90,2.5,0.3,-18.3460212141571,9.47931634514701,3,-26.38579539562549,-7.893486013614863,-25.2200270489345,-29.878922737140755,0.24444444444444446,8.666666666666666,-23.085679386730607
1h,120,2.5,0.3,-18.678127327693684,9.867008330563003,3,-29.436684266838338,-10.051089194016496,-22.17310429687123,-25.253871185047558,0.27777777777777773,5.333333333333333,-23.611631492975185
1h,120,2.5,0.5,-19.79187186032004,10.05493052881254,3,-30.13396244737153,-10.051089194016496,-23.09042708006758,-25.291450988888517,0.1111111111111111,5.333333333333333,-24.81933712472631
1h,90,2.0,0.3,-18.49454702222725,14.91483244306941,3,-31.14374490462257,-2.0481611091634004,-25.77323390922605,-34.078264511683365,0.3100529100529101,14.0,-25.951963243761952
1h,120,2.0,0.5,-21.33528847650693,10.29589991811681,3,-30.13396244737153,-10.011858959218916,-25.81573651712124,-30.228676436100205,0.16666666666666663,10.0,-26.483238435565333
1h,90,2.5,0.5,-24.827597679299334,4.816293726255381,3,-28.671885043938108,-19.425112598334415,-27.891530811322852,-27.93696841347781,0.12222222222222219,8.666666666666666,-27.235744542427025
1h,60,2.0,0.3,-19.504080168605867,18.411056497588156,3,-35.89728845029482,0.414897581378379,-29.28769129413838,-42.04802581057883,0.3592592592592592,20.666666666666668,-28.709608417399945
